Player,Year,Season type,Tm,Games,Minutes,Possessions,Years experience,On-ball PRF/g,On-ball PRF/36,On-ball PRF/75,On-ball Plays/g,On-ball Plays/36,On-ball Plays/75,On-ball rORTG,On-ball PC/g,On-ball PC/36,On-ball PC/75,Off-ball: Partner PRF/g,Off-ball: Partner PRF/36,Off-ball: Partner PRF/75,Off-ball: Partner Plays/g,Off-ball: Partner Plays/36,Off-ball: Partner Plays/75,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Partner PC/36,Off-ball: Partner PC/75,Off-ball: Space PRF/g,Off-ball: Space PRF/36,Off-ball: Space PRF/75,Off-ball: Space Plays/g,Off-ball: Space Plays/36,Off-ball: Space Plays/75,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Space PC/36,Off-ball: Space PC/75,Off-ball: Crash PRF/g,Off-ball: Crash PRF/36,Off-ball: Crash PRF/75,Off-ball: Crash Plays/g,Off-ball: Crash Plays/36,Off-ball: Crash Plays/75,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Off-ball: Crash PC/36,Off-ball: Crash PC/75,Transition PRF/g,Transition PRF/36,Transition PRF/75,Transition Plays/g,Transition Plays/36,Transition Plays/75,Transition rORTG,Transition PC/g,Transition PC/36,Transition PC/75,Total PRF/g,Total PRF/36,Total PRF/75,Total Plays/g,Total Plays/36,Total Plays/75,Total rORTG,Total PC/g (ex. floor raising),Total PC/36 (ex. floor raising),Total PC/75 (ex. floor raising),Scoring PRF/g,Scoring PRF/36,Scoring PRF/75,Scoring Plays/g,Scoring Plays/36,Scoring Plays/75,Scoring rORTG,Scoring PC/g,Scoring PC/36,Scoring PC/75,Playmaking PRF/g,Playmaking PRF/36,Playmaking PRF/75,Playmaking Plays/g,Playmaking Plays/36,Playmaking Plays/75,Playmaking rORTG,Playmaking PC/g,Playmaking PC/36,Playmaking PC/75,% Playmaking,Floor raising PC/g,Floor raising PC/36,Floor raising PC/75,On-ball PC/g (floor raising adj.),On-ball PC/36 (floor raising adj.),On-ball PC/75 (floor raising adj.),Total PC/g (floor raising adj.),Total PC/36 (floor raising adj.),Total PC/75 (floor raising adj.),Half court PRF/g,Half court PRF/36,Half court PRF/75,Half court Plays/g,Half court Plays/36,Half court Plays/75,Half court rORTG,Half court PC/g,Half court PC/36,Half court PC/75,Half court PC/g (floor raising adj.),Half court PC/36 (floor raising adj.),Half court PC/75 (floor raising adj.),Off-ball PRF/g,Off-ball PRF/36,Off-ball PRF/75,Off-ball Plays/g,Off-ball Plays/36,Off-ball Plays/75,Off-ball rORTG,Off-ball PC/g,Off-ball PC/36,Off-ball PC/75,Total creation usage,On-ball creation usage,Off-ball creation usage,Transition creation usage,On-ball share,On-ball playmaking ratio,On-ball Scoring PC/g,On-ball Scoring PC/36,On-ball Scoring PC/75,On-ball Playmaking PC/g,On-ball Playmaking PC/36,On-ball Playmaking PC/75,Has data? All,Has data? Any category,Has data? ISO,Has data? PNRBH,Has data? Post-Up,Has data? Misc,Has data? On-ball,Has data? Passing,Has data? Roll and Pop,Has data? Handoff,Has data? Off-ball: Partner,Has data? Spot-Up,Has data? Off Screen,Has data? Off-ball: Space,Has data? Open Rim,Has data? Putbacks,Has data? Off-ball: Crash,Has data? Transition
Vince Carter,2017-18,RS,SAC,58.0,1025.99,2005.0,,3.2858609280710613,6.687080398261559,7.128925205540707,3.768168537276029,7.668628257421952,8.175328247955473,-14.887408694470377,-0.5609826504407288,-1.1416600299420478,-1.217094528387616,0.6206896551724138,1.2631702063372938,1.346633416458853,0.5,1.0175537773272645,1.084788029925187,20.900789066207206,0.10450394533103603,0.2126767686343953,0.22672925795012805,2.5689655172413794,5.228121131784911,5.5735660847880295,2.603448275862069,5.298297254359205,5.648379052369077,-3.8260422517518506,-0.09960903103698784,-0.2027150915751914,-0.2161093690827417,0.3103448275862069,0.6315851031686469,0.6733167082294265,0.27586206896551724,0.5614089805943527,0.5985037406483791,-15.445776828991221,-0.04260903952825164,-0.08671397824051835,-0.09244355209371304,0.9701802098599726,1.9744210744623465,2.1048797570528084,0.6835556006550053,1.3911091669194156,1.4830258667577423,33.438629644152556,0.22857162571488968,0.4651678422720394,0.4959035271121048,7.7560411379310334,15.784377914014755,16.827321172069823,7.8310344827586205,15.936997436622189,16.99002493765586,-4.726388969106665,-0.37012514996004264,-0.7532444888513232,-0.8030146645018382,5.327586206896552,10.842210937728439,11.55860349127182,5.189655172413793,10.561506447431261,11.25935162094763,0.6148821261550554,0.031910262064253736,0.0649408153979686,0.06923174063815649,2.4284549310344827,4.942166976286318,5.268717680798004,2.6413793103448273,5.3754909891909275,5.730673316708229,-15.22066181293028,-0.4020354120242963,-0.8181853042492916,-0.8722464051399944,0.337296345222369,-0.6469568868839402,-0.44015433478257804,-0.40077249295089357,-1.2079395373246689,-1.5818143647246259,-1.6178670213385096,-1.0170820368439828,-1.1933988236339013,-1.203787157452732,6.785860928071061,13.80995683955241,14.722441415017016,7.1474788821036155,14.545888269702774,15.506999070898118,-8.376335006375374,-0.5986967756749323,-1.2184123311233626,-1.298918191613943,-1.2456536625588726,-1.6585666659059406,-1.6996906845648365,3.5,7.122876441290851,7.593516209476309,3.3793103448275863,6.877260012280821,7.331670822942643,-1.1160302365223471,-0.037714125234203456,-0.07675230118131446,-0.0818236632263267,0.22653366583541146,0.10900437663940633,0.09775561097256857,0.019773678223436564,0.11360930751736226,0.6568350286129628,-0.16734501738285437,-0.3405651091096404,-0.36306774344908554,-0.39363763305787447,-0.8010949208324076,-0.8540267849385306,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Dirk Nowitzki,2017-18,RS,DAL,77.0,1900.3383333333334,3794.0,,5.9345089635942685,8.656594753960468,9.033154787758804,5.256941466088332,7.668235433864068,8.001802047090173,2.375300987039582,0.12486818253208921,0.1821436719490922,0.19006688300548635,3.103896103896104,4.527614819466358,4.7245651027938855,2.831168831168831,4.129790923195255,4.309435951502373,1.6182990230759644,0.04581677753643639,0.06683236616514866,0.06973955990324728,4.441558441558442,6.478846310700813,6.760674749604639,3.7142857142857144,5.417982587311206,5.653663679493937,17.20232684320942,0.6389435684620642,0.932019072977448,0.9725617047623671,0.8181818181818182,1.1934716888133077,1.2453874538745389,0.5844155844155844,0.8524797777237912,0.8895624670532419,24.696104086817463,0.1443278810268553,0.2105292932257376,0.21968727278072991,1.2044335169252118,1.7568922598432142,1.8333167001167894,1.0417598326129671,1.519602170492348,1.585704542261435,7.420986277406912,0.0773088542217455,0.11276946854341471,0.11767491648143917,15.502578844155845,22.613419832784164,23.597098794148657,13.428571428571429,19.58809089258667,20.44016868740116,7.679634943036525,1.0312652637791904,1.504293872860841,1.5697303369332696,11.857142857142858,17.295867490262697,18.04823405376911,10.714285714285714,15.628795924936172,16.308645229309437,7.972566584103126,0.8542035625824779,1.2460161614091325,1.3002175998718528,3.6454359870129873,5.317552342521463,5.548864740379547,2.7142857142857144,3.959294967650497,4.131523458091724,6.523325833563095,0.17706170119671258,0.25827771145170847,0.26951273706141676,0.20212765957446807,-0.3510822108173375,-0.44022453135372785,-0.43131824264187424,-0.22621402828524828,-0.25808085940463565,-0.24125135963638789,0.6801830529618529,1.0640693415071132,1.1384120942913953,14.298145327230634,20.856527572940948,21.763782094031868,12.386811595958461,18.068488722094322,18.854464145139726,7.701387900892104,0.953956409557445,1.3915244043174264,1.4520554204518306,0.6028741987401075,0.9512998729636986,1.0207371778099563,8.363636363636363,12.199932818980479,12.730627306273062,7.12987012987013,10.400253288230253,10.852662098049553,11.62837768323359,0.8290882270253559,1.2093807323683343,1.2619885374463442,0.27253558249868215,0.1066906939612023,0.14470216130732735,0.021142727230152467,0.11360348790909733,0.4688531705707839,0.06307564144766838,0.09200765728187175,0.0960099708382406,0.061792541084420845,0.09013601466722043,0.09405691216724575,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Jason Terry,2017-18,RS,MIL,51.0,813.6466666666666,1631.0,,,,,,,,,,,,0.1568627450980392,0.35396199824657715,0.3678724708767627,0.23529411764705882,0.5309429973698657,0.5518087063151441,-29.992830854709155,-0.07057136671696272,-0.1592448351360667,-0.16550305192665996,1.7647058823529411,3.9820724802739926,4.138565297363581,1.7058823529411764,3.849336730931526,4.000613120784795,0.595268472141321,0.010154579818881357,0.022913887945790766,0.023814388600380865,,,,,,,,,,,1.8017399487221868,4.06564013763624,4.225417108437992,1.5961500816416885,3.6017250115457244,3.743270424450925,10.741355861690357,0.17144816035579494,0.38687410064963434,0.402077997155681,5.424474215686273,12.24036804673609,12.72140642244022,5.227450980392157,11.795783591567183,12.25935009196812,-3.801230429276939,-0.19870745734220235,-0.44838491525430796,-0.46600614612748253,2.8823529411764706,6.504051717780855,6.7596566523605155,2.823529411764706,6.371315968438388,6.621704475781729,-0.1746379310159924,-0.0049309533463339035,-0.01112673438577234,-0.011564007694498578,,,,,,,,,,,0.4598649662415603,,,,,,,-0.19870745734220235,-0.44838491525430796,-0.46600614612748253,3.6227342669640867,8.17472790909985,8.495989314002227,3.6313008987504682,8.194058580021458,8.516079667517193,-10.193471376204819,-0.3701556176979973,-0.8352590159039424,-0.8680841432831635,-0.3701556176979973,-0.8352590159039424,-0.8680841432831635,1.9215686274509804,4.33603447852057,4.506437768240343,1.9411764705882353,4.3802797283013915,4.552421827099939,-3.1123799311132823,-0.06041678689808136,-0.13633094719027591,-0.1416886633262791,0.16345800122624157,,0.06069895769466585,0.049910272326012334,,,,,,,,,False,True,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True
Manu Ginobili,2017-18,RS,SAS,65.0,1298.9183333333333,2601.0,,8.44369585870807,15.211309134941933,15.825842872434388,8.905747735743947,16.04369510141708,16.691857059497018,-11.392890951962523,-1.0146221279901795,-1.827840687569801,-1.9016850726459535,0.6153846153846154,1.1086147320013704,1.1534025374855825,0.6,1.080899363701336,1.1245674740484428,5.526356294414279,0.03315813776648567,0.05973435002219267,0.06214760538701178,3.1538461538461537,5.681650501507023,5.91118800461361,2.9384615384615387,5.2936353453065434,5.507497116493656,4.832080977893963,0.1419888410427303,0.25579274655962886,0.2661267205241485,0.3384615384615385,0.6097381026007537,0.6343713956170703,0.26153846153846155,0.4711612611005824,0.49019607843137253,-0.050761562736792935,-0.00013276101023468922,-0.00023916881914503687,-0.00024883118988623985,1.7796427874457745,3.2060245942763497,3.3355473236440414,1.6942522642560522,3.0521936573065247,3.1755016486921392,0.30870570988489465,0.005230253479612547,0.009422296096849836,0.009802954907001603,14.331030953846152,25.81733706532743,26.86035213379469,14.4,25.941584728832066,26.98961937716263,-5.794289282719346,-0.8343776567115857,-1.5031304637102747,-1.563856623017678,8.6,15.49289087971915,16.118800461361015,8.261538461538462,14.883152777118397,15.484429065743944,5.203904584969707,0.42992257878903584,0.7745050697565106,0.8057949141086311,5.731030953846153,10.324446185608279,10.741551672433676,6.138461538461539,11.058431951713668,11.505190311418685,-20.596369751263254,-1.2643002355006212,-2.277635533466785,-2.3696515371263085,0.42628205128205127,0.3145529578856088,0.833738334234627,0.8634098586413255,-0.7000691701045707,-0.994102353335174,-1.038275214004628,-0.5198246988259769,-0.6693921294756477,-0.7004467643763526,12.551388166400379,22.61131247105108,23.524804810150652,12.705747735743948,22.88939107152554,23.81411772847049,-6.608095231020558,-0.8396079101911983,-1.5125527598071247,-1.5736595779246796,-0.5250549523055895,-0.6788144255724977,-0.7102497192833541,4.107692307692307,7.400003336109147,7.6989619377162635,3.8,6.845695970108462,7.122260668973472,4.605637310499508,0.17501421779898127,0.3152879277626765,0.328025494721274,0.35986159169550175,0.22255809412662692,0.09496347558631296,0.04234002198256186,0.2376843718728456,0.6009491556130092,0.2663938343327735,0.47990821004042344,0.4992964022961442,-1.281015962322953,-2.307748897610224,-2.4009814749420975,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True
Jamal Crawford,2017-18,RS,MIN,80.0,1653.2583333333334,3298.0,,9.710117887380743,16.915166221647077,17.665466138351867,9.57627021359896,16.682001632230296,17.421959151483854,-2.574763769769476,-0.24656633595497204,-0.4295221340990183,-0.44857429221644396,0.5875,1.0234335226900413,1.0688295936931473,0.625,1.0887590666915334,1.137052759248029,-1.244885585236858,-0.0077805349077303635,-0.01355380467920225,-0.01415500589641667,2.875,5.008291706781054,5.230442692540934,2.625,4.5727880801044405,4.775621588841722,7.134796235639979,0.18728840118554943,0.32625911180308526,0.3407308693490893,,,,,,,,,,,2.1109796501192557,3.6773571738698574,3.8404723774152623,2.0337297864010413,3.542786790631631,3.6999329043075337,1.3948866085043443,0.02836822444367213,0.04941785851038146,0.051609868605831645,15.2835975375,26.62424862498803,27.805210802001213,14.860000000000003,25.886335569657902,27.034566403881144,-0.26036504194805404,-0.03869024523348084,-0.06739896846475382,-0.07038856015793966,10.0375,17.485470611066027,18.261067313523345,10.1125,17.61612169906901,18.39751364463311,2.6893314603590146,0.2719586439288054,0.473755902948194,0.4947701223689607,5.246097537499999,9.138778013922002,9.544143488477863,4.7475000000000005,8.270213870588888,8.637052759248029,-6.543420519479437,-0.3106488891622862,-0.5411548714129478,-0.5651586825269004,0.31948183041722744,0.4276778732741011,0.9125614754964686,0.9503508782967955,0.18111153731912907,0.4830393413974503,0.5017765860803516,0.38898762804062026,0.8451625070317148,0.8799623181388558,13.172617887380744,22.946891451118173,23.96473842458595,12.82627021359896,22.343548779026268,23.334633499573606,-0.522821276648723,-0.06705846967715297,-0.11681682697513529,-0.1219984287637713,0.36061940359694816,0.7957446485213333,0.8283524495330242,3.4625,6.031725229471095,6.299272286234081,3.25,5.661547146795973,5.912674348089751,5.523318962394432,0.17950786627781906,0.312705307123883,0.32657586345267264,0.3604608853850819,0.23229278868645142,0.07883565797453002,0.04933243872410045,0.24714076492193027,0.43088489793650275,0.20808271189777677,0.3624831027207467,0.3785616347442876,-0.45464904785274884,-0.792005236819765,-0.8271359269607316,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True
Tyson Chandler,2017-18,RS,PHX,46.0,1150.6933333333334,2357.0,,2.455822816760416,3.534254059484643,3.5946494347999303,3.814441017075538,5.489485461759656,5.583292960929405,-34.36072101287473,-1.3106694360779867,-1.886226784557553,-1.9184597176364253,2.0,2.8782646983847417,2.927450148493848,1.5434782608695652,2.2212694954925727,2.2592278319898176,20.275911707220352,0.3129542893940533,0.45038264168549297,0.458079040479204,,,,,,,,,,,3.652173913043478,5.255961623137355,5.345778532032244,2.9565217391304346,4.254826075873097,4.327535002121341,15.848975949967253,0.4685784193903362,0.6743463614780625,0.6858699817126261,0.7344210745439316,1.0569291263047935,1.074990541865322,0.5899068090114189,0.8489539718571786,0.8634613878190052,14.619022418832573,0.08623860865959918,0.1241087714713705,0.12622961386322323,8.842417804347827,12.725409507311534,12.942868657191346,8.904347826086957,12.814535004982504,13.033517182859569,-4.973953480752909,-0.4428981186339982,-0.6373890099226273,-0.648281081581372,6.434782608695652,9.260503812194386,9.41875265167586,5.630434782608695,8.102940835670088,8.241408570216377,5.7467518730243246,0.3235671163289783,0.46565590424392367,0.47361330137249685,2.4076351956521735,3.4649056951171464,3.5241160055154857,3.273913043478261,4.711594169312415,4.79210861264319,-23.41128871732863,-0.7664652349629764,-1.1030449141665508,-1.1218943829538688,0.36767578124999994,-0.6375488951754649,-0.8446359007015993,-0.8769510903725666,-1.9482183312534516,-2.7308626852591527,-2.7954108080089917,-1.080447013809463,-1.4820249106242267,-1.5252321719539386,8.107996729803894,11.66848038100674,11.867878115326022,8.314441017075538,11.965581033125325,12.170055795040563,-6.364068567049768,-0.5291367272935973,-0.7614977813939977,-0.7745106954445952,-1.1666856224690623,-1.6061336820955971,-1.6514617858171619,5.6521739130434785,8.134226321522096,8.273228680526092,4.5,6.476095571365669,6.586762834111158,17.36739352854199,0.7815327087843894,1.1247290031635555,1.14394902219183,0.17378022910479424,0.0744439061457254,0.08782350445481545,0.011512818504253402,0.08132571054458748,0.8062283748853754,-0.5909615315445123,-0.8504718571739753,-0.8650052116370671,-0.7197079045334746,-1.035754927383578,-1.0534545059993583,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,True,True,True
Pau Gasol,2017-18,RS,SAS,77.0,1811.9216666666666,3566.0,,7.197799304359605,11.011678947683441,11.656559445506652,7.323210842927741,11.20354197979256,11.859658614107602,-13.001261523682231,-0.9521097936196897,-1.4566017927083568,-1.5419052322360371,3.064935064935065,4.688944426405484,4.9635445877734155,2.688311688311688,4.11276057739803,4.353617498597869,4.8865223549037875,0.13136495161884207,0.2009709650182248,0.21274049231598793,2.012987012987013,3.0796033309019064,3.2599551318003366,2.220779220779221,3.397497868285329,3.5964666292765,-12.34308114221219,-0.2741125812101668,-0.4193559186873876,-0.4439147943041821,2.2857142857142856,3.4968399112176485,3.7016264722378014,2.0259740259740258,3.0994717394883704,3.2809871003925966,3.273504879538436,0.06632035859844104,0.10146135863206664,0.10740327282837829,1.7315508514845523,2.6490433050261624,2.804180080572992,1.354711234994337,2.0725286376826277,2.1939027992406888,19.813535350461798,0.26841618944228063,0.4106411942756918,0.4346897066823249,16.29298651948052,24.92610992123464,26.385865717891196,15.612987012987013,23.885800802646916,25.284632641615257,-4.868516668450552,-0.7601208751702928,-1.1628841934697611,-1.2309865547135281,9.87012987012987,15.099990525712574,15.984296130117778,9.727272727272727,14.881438031261471,15.752944475602916,-3.24737763728536,-0.3158812792632123,-0.4832564907336638,-0.5115575961147086,6.42285664935065,9.826119395522067,10.401569587773416,5.885714285714285,9.004362771385445,9.531688166012339,-7.5477601246348645,-0.44423959590708056,-0.6796277027360973,-0.7194289585988194,0.3769755448344701,0.03624001779702657,0.15184777437746,0.20265051189085925,-0.9158697758226632,-1.3047540183308968,-1.339254720345178,-0.7238808573732662,-1.0110364190923011,-1.0283360428226689,14.56143566799597,22.27706661620848,23.581685637318206,14.258275777992678,21.81327216496429,23.090729842374568,-7.2136146096998415,-1.0285370646125735,-1.573525387745453,-1.665676261395853,-0.992297046815547,-1.421677613367993,-1.4630257495049936,7.363636363636363,11.265387668525038,11.925126191811554,6.935064935064935,10.60973018517173,11.231071228266966,-1.1020411734928923,-0.0764272709928837,-0.11692359503709615,-0.12377102915981587,0.33712843522153674,0.1581287815214347,0.14974761637689288,0.029252037323209187,0.16597839970063052,0.6967478789820862,-0.36064476654150124,-0.5517386933686657,-0.5840503440205187,-0.5914650270781885,-0.9048630993396911,-0.9578548882155183,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True
Joe Johnson,2017-18,RS,HOU,55.0,1204.75,2402.0,,5.882635822622737,9.66807962547667,10.102361685395001,6.763185156275244,11.115257613135492,11.614545699265356,-3.4742587255093014,-0.23497055041424256,-0.38617280748719673,-0.40351936738499194,0.18181818181818182,0.2988171819879643,0.3122398001665279,0.2,0.32869890018676073,0.3434637801831807,-17.62921512349613,-0.03525843024699226,-0.057947036222489874,-0.0605499686797848,2.5090909090909093,4.123677111433907,4.3089092422980855,2.618181818181818,4.302967420626686,4.496253122398002,-7.171171531165606,-0.1877543091796086,-0.3085731746633119,-0.32243402388255016,,,,,,,,,,,0.6642756319227167,1.0917333481693123,1.1407730981187372,0.9677239346338454,1.5904489649927487,1.661890603815409,-41.919078456681255,-0.4056609554032445,-0.6667015494487853,-0.6966492260775953,9.237820545454545,15.182307267067854,15.864283825978351,10.549090909090907,17.337372898941688,18.11615320566195,-8.186906840473085,-0.8636442452440879,-1.4193945678217836,-1.483152586024922,5.927272727272728,9.741440132807636,10.17901748542881,6.6,10.847063706163103,11.334304746044964,-9.850888353768013,-0.6501586313486889,-1.0685321353562183,-1.1165297062087185,3.3105478181818175,5.440867134260219,5.685266340549542,3.9490909090909088,6.490309192778584,6.781848459616986,-5.405943261623825,-0.21348561389539905,-0.35086243246556553,-0.3666228798162036,0.37435367114788004,-0.06605858223793537,0.1380286391245562,0.16518220825011065,-0.3010291326521779,-0.24814416836264053,-0.2383371591348813,-0.9297028274820233,-1.2813659286972274,-1.3179703777748113,8.573544913531828,14.090573918898542,14.723510727859614,9.581366974457064,15.746923933948938,16.45426260184654,-4.779936840555004,-0.4579832898408434,-0.7526930183729985,-0.7865033599473269,-0.5240418720787787,-0.6146643792484423,-0.6213211516972162,2.690909090909091,4.422494293421872,4.621149042464613,2.8181818181818183,4.631666320813447,4.839716902581182,-7.91335526997616,-0.22301273942660085,-0.3665202108858018,-0.382983992562335,0.24154870940882595,0.15486060932353807,0.06452955870108243,0.022158541384205453,0.16467048315756286,0.5295385076267031,-0.07022489278815723,-0.11541422512600234,-0.12059853569989534,-0.1647456576260853,-0.2707585823611944,-0.2829208316850966,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True
Richard Jefferson,2017-18,RS,DEN,20.0,163.37166666666667,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Zach Randolph,2017-18,RS,SAC,59.0,1507.6116666666667,2963.0,,10.186626406658004,14.351437419942314,15.2128997129469,11.813002415971464,16.64275866675883,17.641760273598965,-12.354349194631299,-1.4594195688393465,-2.05610452131115,-2.179524668280158,2.1186440677966103,2.9848535266044416,3.1640229497131287,2.2711864406779663,3.1997629805199614,3.3918326020924736,-16.216841124888322,-0.36831469673475176,-0.5189004789239134,-0.550048104303502,2.7457627118644066,3.8683701704793565,4.100573742828215,2.6779661016949152,3.772854857628014,3.9993250084373946,-0.04198321157961755,-0.0011242961745050123,-0.0015839656374698476,-0.0016790450800488286,2.3220338983050848,3.271399465158468,3.4677691528855887,1.847457627118644,2.6027922751990733,2.759028012149848,21.76799499118059,0.4021544837353702,0.5665756920961695,0.6005850794900484,1.3786293221555554,1.9422831124228939,2.058870992419282,1.2819128382658238,1.8060240104779035,1.9144327739879412,-1.655445001948814,-0.021221362010411762,-0.029897734215451978,-0.03169238167265341,18.751696406779658,26.418343694607472,28.004136550793113,19.89152542372881,28.02419279058378,29.70637867026662,-7.2791071030500225,-1.447925440023645,-2.039911007991816,-2.162359119846314,14.35593220338983,20.225367496271698,21.439419507256158,14.508474576271187,20.440276950187215,21.667229159635504,-1.2408563996509956,-0.1800293352713987,-0.25363448464278543,-0.2688591996543838,4.39576420338983,6.192976198335778,6.564717043536955,5.3830508474576275,7.583915840396566,8.039149510631118,-23.5534855731683,-1.2678961047522461,-1.7862765233490305,-1.8934999201919303,0.27062031356509886,0.7843942945050548,0.9077900847683633,0.9758620275781529,-0.6750252743342917,-1.1483144365427869,-1.2036626407020052,-0.6635311455185902,-1.1321209232234528,-1.1864970922681612,17.373067084624104,24.47606058218458,25.94526555837383,18.60961258546299,26.218168780105877,27.79194589627868,-7.666489946855269,-1.4267040780132332,-2.010013273776364,-2.1306667381736606,-0.6423097835081784,-1.1022231890080008,-1.1548047105955077,7.186440677966102,10.124623162242266,10.732365845426932,6.796610169491525,9.575410113347049,10.150185622679716,0.4813501143991756,0.03271549082611346,0.04609124753478625,0.048857930106497485,0.3960850489368883,0.23522347031465285,0.13533580830239622,0.025525770319839217,0.24655938765568639,0.40312824721899637,-0.2749921640878897,-0.3874229481217053,-0.4106784765740506,-1.184427404751457,-1.6686815731894449,-1.7688461917061076,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True
