Player,Year,Player Year,Games,Total plays,On-ball PRF/g,On-ball PRF baseline,On-ball Plays/g,On-ball rORTG,On-ball PC/g,Off-ball: Partner PRF/g,Off-ball: Partner PRF/g baseline,Off-ball: Partner Plays/g,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Space PRF/g,Off-ball: Space PRF/g baseline,Off-ball: Space Plays/g,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Crash PRF/g,Off-ball: Crash PRF/g baseline,Off-ball: Crash Plays/g,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Transition PRF/g,Transition PRF/g baseline,Transition Plays/g,Transition rORTG,Transition PC/g,Total PRF/g,Total PRF/g baseline,Total Plays/g,Total rORTG,Total PC/g
Chris McCullough,2017-18,Chris McCullough 2017-18,18,60,0.5,0.7,0.7,-23.0,-0.17,0.8,0.9,0.8,-7.8,-0.07,0.4,0.6,0.6,-21.1,-0.12,0.6,0.6,0.6,-0.9,0.00,0.8,0.6,0.7,21.6,0.14,3.2,3.4,3.3,-6.3,-0.21
Chris Mihm,2005-06,Chris Mihm 2005-06,59,736,5.9,6.1,6.7,-2.9,-0.20,1.0,1.1,1.1,-10.1,-0.11,0.8,1.0,1.1,-15.1,-0.16,3.8,3.5,3.3,9.8,0.32,0.4,0.3,0.3,29.7,0.10,11.9,12.0,12.5,-0.4,-0.05
Chris Mihm,2007-08,Chris Mihm 2007-08,23,137,2.5,2.9,3.2,-12.0,-0.38,0.5,0.4,0.4,8.3,0.04,0.4,0.4,0.4,3.0,0.01,0.8,1.5,1.4,-52.8,-0.76,0.5,0.4,0.5,17.9,0.09,4.7,5.7,6.0,-16.9,-1.00
Chris Mihm,2008-09,Chris Mihm 2008-09,18,82,1.8,2.4,2.6,-23.0,-0.60,0.2,0.2,0.2,-6.7,-0.02,0.1,0.2,0.2,-47.3,-0.11,1.3,1.4,1.3,-8.7,-0.11,0.1,0.2,0.2,-41.3,-0.09,3.5,4.4,4.6,-20.3,-0.92
Chris Paul,2005-06,Chris Paul 2005-06,76,2381,19.7,19.3,21.3,2.3,0.48,0.4,0.4,0.4,-9.9,-0.04,2.2,1.9,2.0,13.7,0.27,0.8,0.6,0.6,25.5,0.14,7.4,6.4,7.0,14.7,1.03,30.4,28.5,31.3,6.0,1.89
Chris Paul,2006-07,Chris Paul 2006-07,60,2122,24.3,23.4,25.8,3.5,0.91,0.3,0.3,0.3,-10.7,-0.04,1.8,1.6,1.6,15.5,0.25,0.5,0.5,0.5,-2.1,-0.01,7.9,6.4,7.1,20.1,1.43,34.8,32.2,35.4,7.2,2.55
Chris Paul,2007-08,Chris Paul 2007-08,80,3185,30.1,26.1,28.6,14.1,4.03,0.2,0.3,0.3,-31.4,-0.10,3.3,2.5,2.5,33.1,0.83,0.6,0.5,0.5,26.5,0.13,9.2,7.2,7.9,24.8,1.96,43.4,36.5,39.8,17.2,6.85
Chris Paul,2008-09,Chris Paul 2008-09,78,3557,37.4,32.7,35.8,13.3,4.78,0.3,0.3,0.3,-0.2,0.00,2.0,1.7,1.7,17.2,0.29,0.7,0.6,0.5,33.1,0.17,8.3,6.6,7.2,23.4,1.69,48.7,41.8,45.6,15.2,6.93
Chris Paul,2009-10,Chris Paul 2009-10,48,1933,32.7,29.5,32.3,9.9,3.19,0.2,0.1,0.1,68.6,0.07,1.5,1.3,1.3,15.3,0.20,0.4,0.3,0.3,11.2,0.04,7.2,5.7,6.2,24.7,1.54,41.9,36.9,40.3,12.5,5.04
Chris Paul,2010-11,Chris Paul 2010-11,80,3090,32.0,28.5,31.4,11.4,3.57,0.1,0.1,0.1,9.0,0.01,1.7,1.5,1.6,11.7,0.19,0.2,0.3,0.3,-23.8,-0.06,5.9,4.7,5.2,21.6,1.13,40.0,35.1,38.6,12.5,4.84
Chris Paul,2011-12,Chris Paul 2011-12,60,2351,32.9,27.6,31.5,17.0,5.36,0.3,0.2,0.2,25.4,0.06,2.4,1.8,1.9,29.8,0.57,0.4,0.2,0.2,55.9,0.13,6.0,4.6,5.3,26.1,1.38,41.9,34.4,39.2,19.1,7.50
Chris Paul,2012-13,Chris Paul 2012-13,70,2627,30.3,25.8,29.0,15.3,4.43,0.3,0.2,0.3,21.4,0.06,2.1,1.7,1.7,25.9,0.45,0.3,0.3,0.3,-7.0,-0.02,7.2,5.6,6.3,25.2,1.58,40.1,33.6,37.5,17.3,6.49
Chris Paul,2013-14,Chris Paul 2013-14,62,2642,31.9,28.1,31.1,12.2,3.78,0.6,0.5,0.5,18.9,0.10,1.8,1.6,1.7,11.6,0.19,0.3,0.2,0.2,32.8,0.08,10.5,8.2,9.1,25.0,2.27,45.1,38.7,42.6,15.1,6.42
Chris Paul,2014-15,Chris Paul 2014-15,82,3438,34.0,29.5,32.8,13.7,4.49,0.8,0.6,0.7,18.2,0.13,2.3,1.7,1.7,33.7,0.58,0.5,0.3,0.3,38.0,0.13,7.4,5.7,6.3,27.3,1.72,44.9,37.8,41.9,16.8,7.05
Chris Paul,2015-16,Chris Paul 2015-16,74,3176,34.8,31.1,34.0,11.0,3.75,0.6,0.6,0.6,8.3,0.05,1.5,1.3,1.3,15.2,0.20,0.4,0.3,0.3,43.1,0.13,7.6,6.1,6.7,22.3,1.49,45.0,39.4,42.9,13.1,5.62
Chris Paul,2016-17,Chris Paul 2016-17,61,2338,32.6,28.3,30.0,14.5,4.33,0.4,0.4,0.4,-2.4,-0.01,1.9,1.6,1.6,14.6,0.24,0.2,0.1,0.1,93.4,0.08,7.1,5.9,6.3,18.7,1.17,42.1,36.3,38.3,15.1,5.80
Chris Paul,2017-18,Chris Paul 2017-18,58,2170,31.8,27.9,29.4,13.1,3.84,0.5,0.4,0.4,31.7,0.11,1.5,1.3,1.2,18.5,0.23,0.3,0.3,0.3,1.6,0.00,6.8,5.9,6.2,15.8,0.98,40.9,35.7,37.4,13.8,5.17
Chris Paul,2018-19,Chris Paul 2018-19,58,2095,28.3,26.8,27.8,5.7,1.59,0.6,0.6,0.7,0.8,0.01,1.4,1.1,1.1,27.8,0.30,0.4,0.3,0.2,73.4,0.18,6.9,6.1,6.3,13.6,0.86,37.7,34.8,36.1,8.1,2.93
Chris Paul,2019-20,Chris Paul 2019-20,70,2327,28.5,25.7,26.6,10.6,2.83,0.3,0.3,0.3,-3.1,-0.01,1.7,1.4,1.4,21.4,0.30,0.3,0.2,0.2,12.9,0.03,5.1,4.6,4.7,11.6,0.55,35.9,32.2,33.2,11.1,3.70
Chris Paul,2020-21,Chris Paul 2020-21,70,2525,30.3,27.6,28.0,9.7,2.71,0.4,0.4,0.4,1.6,0.01,1.9,1.6,1.5,22.2,0.33,0.2,0.2,0.2,16.6,0.03,7.0,5.9,6.0,17.9,1.08,39.8,35.6,36.1,11.5,4.16
Chris Paul,2021-22,Chris Paul 2021-22,65,2496,33.8,29.9,30.8,12.4,3.83,0.5,0.4,0.4,29.7,0.12,1.4,1.4,1.4,-0.3,0.00,0.1,0.1,0.1,22.8,0.02,6.4,5.6,5.7,14.8,0.85,42.2,37.4,38.4,12.5,4.81
Chris Paul,2022-23,Chris Paul 2022-23,59,2036,28.5,27.0,27.1,5.4,1.46,0.4,0.5,0.5,-18.3,-0.09,3.0,2.3,2.2,30.3,0.67,0.3,0.2,0.2,41.8,0.09,4.7,4.5,4.5,4.7,0.21,36.9,34.5,34.5,6.8,2.34
Chris Paul,2023-24,Chris Paul 2023-24,44,1226,22.2,22.0,22.0,0.8,0.17,0.5,0.5,0.5,-4.7,-0.02,2.7,2.4,2.3,13.9,0.32,0.4,0.2,0.2,67.4,0.14,3.1,2.8,2.8,7.9,0.22,28.9,28.0,27.9,3.0,0.83
Chris Quinn,2006-07,Chris Quinn 2006-07,40,292,4.8,4.8,5.3,0.8,0.04,0.1,0.0,0.1,59.5,0.03,1.1,1.1,1.1,3.3,0.04,0.0,0.1,0.1,-109.5,-0.05,0.8,0.8,0.9,0.5,0.00,6.8,6.7,7.3,0.8,0.06
Chris Quinn,2007-08,Chris Quinn 2007-08,59,842,9.3,9.0,9.9,2.4,0.24,0.0,0.0,0.1,-26.0,-0.01,3.4,2.7,2.8,23.7,0.66,0.1,0.1,0.1,0.4,0.00,1.7,1.3,1.5,21.4,0.32,14.4,13.2,14.3,8.4,1.20
Chris Quinn,2008-09,Chris Quinn 2008-09,62,604,6.0,5.8,6.4,2.3,0.15,0.4,0.4,0.4,16.4,0.06,2.7,2.4,2.5,13.6,0.33,0.0,0.0,0.0,-125.0,-0.02,0.5,0.5,0.5,15.3,0.08,9.6,9.0,9.7,6.2,0.60
Chris Quinn,2009-10,Chris Quinn 2009-10,22,137,3.5,3.7,4.1,-6.0,-0.25,0.0,0.0,0.0,,0.00,1.5,1.3,1.4,9.7,0.13,0.0,0.1,0.0,-124.0,-0.06,0.6,0.7,0.7,-3.8,-0.03,5.6,5.8,6.2,-3.2,-0.20
Chris Quinn,2010-11,Chris Quinn 2010-11,35,186,3.4,3.0,3.3,12.3,0.41,0.1,0.1,0.1,-41.0,-0.05,1.2,1.4,1.5,-17.1,-0.25,0.2,0.1,0.1,51.3,0.06,0.3,0.3,0.3,18.5,0.06,5.2,5.0,5.3,4.3,0.23
Chris Quinn,2012-13,Chris Quinn 2012-13,7,44,3.5,3.9,4.4,-10.9,-0.48,0.0,0.3,0.3,-89.0,-0.25,0.3,0.6,0.6,-48.0,-0.27,0.3,0.2,0.1,82.0,0.12,0.7,0.8,0.9,-5.8,-0.05,4.8,5.7,6.3,-15.0,-0.94
Chris Richard,2007-08,Chris Richard 2007-08,49,145,0.8,1.2,1.3,-25.7,-0.33,0.3,0.4,0.4,-29.0,-0.11,0.1,0.1,0.1,2.0,0.00,1.1,1.2,1.1,-6.9,-0.08,0.1,0.1,0.1,-11.2,-0.01,2.4,2.9,3.0,-17.9,-0.53
Chris Richard,2009-10,Chris Richard 2009-10,17,61,1.6,1.7,1.8,-5.9,-0.11,0.1,0.3,0.3,-84.0,-0.25,0.0,0.1,0.1,-98.0,-0.06,1.5,1.5,1.3,1.5,0.02,0.2,0.1,0.1,58.5,0.07,3.3,3.6,3.6,-9.0,-0.32
Chris Silva,2019-20,Chris Silva 2019-20,44,204,1.7,2.1,2.2,-19.7,-0.43,0.6,0.5,0.5,21.1,0.10,0.2,0.2,0.2,-13.6,-0.02,1.8,1.7,1.5,8.2,0.12,0.3,0.3,0.3,28.5,0.08,4.6,4.8,4.6,-3.3,-0.15
Chris Silva,2020-21,Chris Silva 2020-21,15,52,1.4,1.8,1.8,-18.1,-0.33,0.9,0.7,0.6,31.9,0.19,0.0,0.2,0.2,-103.7,-0.21,0.7,0.8,0.7,-19.3,-0.13,0.3,0.2,0.2,68.3,0.14,3.3,3.6,3.5,-9.6,-0.33
Chris Silva,2021-22,Chris Silva 2021-22,9,52,2.5,3.2,3.3,-20.9,-0.70,0.4,0.6,0.6,-32.8,-0.18,0.0,0.1,0.1,-102.0,-0.11,2.0,1.8,1.6,15.6,0.24,0.2,0.2,0.2,3.0,0.01,5.2,6.0,5.8,-12.8,-0.74
Chris Singleton,2011-12,Chris Singleton 2011-12,66,493,2.1,2.6,2.9,-14.5,-0.42,0.2,0.3,0.3,-33.5,-0.10,2.2,2.4,2.5,-5.8,-0.15,0.6,0.6,0.6,2.6,0.01,1.3,1.0,1.2,21.7,0.25,6.4,6.8,7.5,-5.4,-0.40
Chris Singleton,2012-13,Chris Singleton 2012-13,53,409,2.0,2.5,2.8,-19.0,-0.54,1.1,1.3,1.4,-17.0,-0.23,1.3,1.6,1.7,-19.8,-0.33,1.2,1.1,1.1,9.4,0.10,0.6,0.7,0.8,-13.6,-0.10,6.2,7.3,7.7,-14.3,-1.10
Chris Singleton,2013-14,Chris Singleton 2013-14,21,105,1.1,1.4,1.5,-18.1,-0.28,0.2,0.3,0.3,-16.8,-0.05,1.2,1.5,1.6,-21.9,-0.34,0.9,0.9,0.9,-3.9,-0.03,0.8,0.7,0.8,15.8,0.12,4.2,4.8,5.0,-11.6,-0.58
Chris Taft,2005-06,Chris Taft 2005-06,19,52,1.1,0.8,0.9,27.9,0.25,0.0,0.1,0.1,-102.5,-0.11,0.2,0.1,0.1,107.0,0.11,1.2,1.2,1.2,-6.3,-0.08,0.6,0.4,0.4,47.1,0.20,3.0,2.6,2.7,13.8,0.38
Chris Webber,2005-06,Chris Webber 2005-06,74,2169,14.0,15.6,17.2,-9.2,-1.59,2.3,2.3,2.3,-2.4,-0.05,4.2,4.6,4.8,-9.1,-0.44,3.4,3.2,3.0,9.3,0.28,2.1,1.8,2.0,15.0,0.30,26.0,27.5,29.3,-5.1,-1.49
Chris Webber,2006-07,Chris Webber 2006-07,60,1152,10.5,11.0,12.1,-4.4,-0.54,0.9,1.1,1.1,-23.4,-0.26,2.4,2.4,2.5,-1.9,-0.05,3.3,2.9,2.7,11.7,0.31,1.0,0.7,0.8,33.2,0.25,17.9,18.2,19.2,-1.5,-0.28
Chris Webber,2007-08,Chris Webber 2007-08,10,85,3.9,4.3,4.7,-9.1,-0.43,0.8,0.7,0.7,13.0,0.09,1.5,1.2,1.2,27.4,0.33,0.3,0.6,0.5,-59.6,-0.30,1.3,1.3,1.4,1.6,0.02,7.8,8.0,8.5,-3.3,-0.28
Chris Wilcox,2005-06,Chris Wilcox 2005-06,75,659,3.2,3.6,4.0,-10.5,-0.42,0.7,0.6,0.6,12.3,0.08,0.9,0.6,0.7,38.0,0.25,3.3,2.8,2.5,21.0,0.52,1.3,1.0,1.1,34.7,0.37,9.4,8.6,8.8,9.1,0.80
Chris Wilcox,2006-07,Chris Wilcox 2006-07,80,1223,5.7,6.3,6.9,-7.9,-0.55,2.2,1.9,1.9,16.9,0.31,0.8,1.1,1.1,-26.9,-0.29,5.2,4.5,3.9,18.9,0.74,1.9,1.3,1.5,37.1,0.55,15.8,15.1,15.3,5.0,0.77
Chris Wilcox,2007-08,Chris Wilcox 2007-08,61,947,5.8,7.6,8.3,-21.1,-1.76,1.8,1.6,1.5,17.8,0.27,0.6,0.6,0.6,-5.5,-0.04,4.5,3.8,3.4,20.8,0.71,2.1,1.5,1.6,41.1,0.67,14.9,15.1,15.5,-1.0,-0.15
Chris Wilcox,2008-09,Chris Wilcox 2008-09,62,613,3.7,4.7,5.2,-19.9,-1.03,0.8,0.8,0.8,0.0,0.00,0.5,0.5,0.5,1.2,0.01,2.9,2.8,2.6,3.8,0.10,1.0,0.8,0.9,27.1,0.24,8.9,9.6,9.9,-6.9,-0.69
Chris Wilcox,2009-10,Chris Wilcox 2009-10,33,206,1.5,2.4,2.6,-33.5,-0.86,0.7,0.7,0.7,0.4,0.00,0.2,0.4,0.5,-51.1,-0.23,2.4,2.1,1.9,18.5,0.35,0.7,0.6,0.6,18.7,0.11,5.5,6.1,6.2,-10.0,-0.63
Chris Wilcox,2010-11,Chris Wilcox 2010-11,56,494,3.0,3.1,3.5,-5.1,-0.18,1.2,1.3,1.3,-3.8,-0.05,0.4,0.4,0.4,21.2,0.08,3.6,3.2,2.9,13.6,0.39,1.3,0.8,0.8,58.3,0.49,9.4,8.7,8.8,8.3,0.74
Chris Wilcox,2011-12,Chris Wilcox 2011-12,28,189,1.8,2.5,2.9,-23.9,-0.69,0.5,0.6,0.6,-15.4,-0.09,0.6,0.4,0.4,38.6,0.17,2.6,2.3,2.1,13.5,0.29,1.0,0.6,0.7,65.2,0.44,6.6,6.4,6.8,1.7,0.11
Chris Wilcox,2012-13,Chris Wilcox 2012-13,61,269,1.1,1.3,1.5,-14.7,-0.22,0.8,0.5,0.5,53.1,0.29,0.0,0.1,0.1,-57.8,-0.05,2.2,1.7,1.6,34.6,0.54,1.0,0.7,0.8,41.3,0.31,5.1,4.3,4.4,19.8,0.87
Chris Wright,2011-12,Chris Wright 2011-12,22,78,1.6,1.2,1.4,23.3,0.33,0.2,0.3,0.3,-31.0,-0.08,0.1,0.2,0.2,-34.8,-0.08,0.7,1.0,1.0,-30.9,-0.29,1.0,0.6,0.7,59.3,0.40,3.6,3.3,3.5,7.7,0.27
Chris Wright,2013-14,Chris Wright 2013-14,8,59,1.7,2.0,2.3,-16.5,-0.37,0.5,0.4,0.4,36.7,0.14,0.6,0.7,0.8,-14.5,-0.11,3.3,2.8,2.6,16.0,0.42,1.4,1.2,1.4,9.5,0.13,7.4,7.2,7.4,2.9,0.21
Christian Braun,2022-23,Christian Braun 2022-23,76,499,2.0,2.2,2.2,-8.1,-0.18,0.3,0.4,0.4,-19.4,-0.07,1.6,1.7,1.6,-5.5,-0.09,0.8,0.7,0.6,10.5,0.06,2.2,1.8,1.8,24.3,0.44,6.9,6.7,6.6,2.5,0.16
Christian Braun,2023-24,Christian Braun 2023-24,69,707,3.7,4.0,4.0,-6.6,-0.26,0.4,0.3,0.3,11.7,0.04,2.4,2.3,2.2,3.5,0.08,1.2,1.3,1.1,-10.0,-0.11,2.8,2.6,2.6,7.7,0.20,10.6,10.6,10.2,-0.6,-0.06
Christian Eyenga,2010-11,Christian Eyenga 2010-11,45,450,2.4,3.5,3.8,-27.3,-1.05,0.1,0.1,0.1,-16.0,-0.01,3.0,3.4,3.4,-12.2,-0.42,0.8,0.9,0.9,-10.2,-0.09,2.3,1.6,1.8,38.2,0.68,8.6,9.5,10.0,-8.9,-0.89
Christian Eyenga,2011-12,Christian Eyenga 2011-12,5,34,2.1,2.3,2.6,-8.4,-0.22,0.2,0.4,0.4,-37.5,-0.15,1.2,2.7,2.8,-51.9,-1.45,0.0,0.2,0.2,-87.0,-0.17,0.4,0.7,0.8,-37.5,-0.30,3.9,6.2,6.8,-33.8,-2.30
Christian Koloko,2022-23,Christian Koloko 2022-23,58,277,1.5,1.7,1.7,-10.6,-0.18,0.8,0.9,0.8,-12.9,-0.10,0.1,0.2,0.2,-48.6,-0.08,1.8,2.0,1.8,-16.2,-0.29,0.5,0.4,0.4,17.6,0.07,4.6,5.2,4.8,-11.9,-0.57
Christian Wood,2015-16,Christian Wood 2015-16,15,73,1.1,1.0,1.1,9.1,0.10,0.3,0.7,0.7,-62.0,-0.41,1.1,0.7,0.7,48.2,0.35,1.5,2.0,1.8,-26.1,-0.47,0.7,0.5,0.6,30.8,0.18,4.7,4.9,4.9,-5.1,-0.25
Christian Wood,2016-17,Christian Wood 2016-17,12,44,0.9,1.2,1.3,-19.3,-0.24,1.1,0.8,0.8,41.6,0.31,0.0,0.6,0.6,-100.0,-0.58,1.3,1.1,1.1,16.2,0.18,0.0,0.0,0.0,,0.00,3.3,3.6,3.7,-9.2,-0.34
Christian Wood,2018-19,Christian Wood 2018-19,21,180,2.4,2.8,2.9,-12.8,-0.37,1.1,1.1,1.0,0.0,0.00,1.9,1.9,1.9,-1.2,-0.02,2.0,1.6,1.4,31.2,0.43,1.7,1.3,1.3,32.4,0.43,9.2,8.7,8.6,5.4,0.47
Christian Wood,2019-20,Christian Wood 2019-20,62,844,4.0,4.3,4.4,-5.5,-0.24,3.4,2.5,2.2,37.8,0.85,3.0,2.5,2.5,17.2,0.43,2.9,2.5,2.2,19.2,0.42,2.5,2.2,2.3,14.9,0.34,15.7,13.9,13.6,13.2,1.79
Christian Wood,2020-21,Christian Wood 2020-21,41,1000,8.4,9.4,9.6,-10.3,-0.98,5.2,4.6,4.1,15.4,0.63,4.7,4.9,4.7,-3.1,-0.15,4.0,3.4,2.9,19.9,0.58,3.7,3.0,3.1,19.7,0.61,26.0,25.3,24.4,2.8,0.70
Christian Wood,2021-22,Christian Wood 2021-22,68,1541,10.1,10.0,10.3,1.1,0.11,3.7,3.4,3.0,10.3,0.31,3.9,3.8,3.8,3.6,0.14,3.4,2.9,2.5,21.5,0.54,3.1,3.0,3.1,5.2,0.16,24.3,23.0,22.7,5.6,1.26
Christian Wood,2022-23,Christian Wood 2022-23,67,1286,8.4,8.5,8.5,-1.8,-0.15,3.9,3.2,2.8,27.2,0.75,4.0,3.5,3.4,15.5,0.53,2.5,2.4,2.0,6.2,0.13,2.7,2.5,2.5,10.5,0.26,21.6,20.1,19.2,7.9,1.51
Christian Wood,2023-24,Christian Wood 2023-24,50,462,2.7,2.9,2.9,-7.4,-0.21,1.1,1.3,1.1,-14.3,-0.16,2.2,2.7,2.5,-18.3,-0.46,1.7,1.6,1.3,11.1,0.15,1.7,1.4,1.4,27.8,0.38,9.4,9.7,9.2,-3.4,-0.31
Chuck Hayes,2005-06,Chuck Hayes 2005-06,35,157,1.6,1.4,1.5,17.5,0.27,0.6,0.4,0.4,40.3,0.16,0.0,0.1,0.1,-92.3,-0.08,2.2,2.2,2.1,1.7,0.03,0.5,0.4,0.4,29.7,0.13,4.9,4.4,4.5,11.4,0.51
Chuck Hayes,2006-07,Chuck Hayes 2006-07,78,523,1.7,2.0,2.2,-13.9,-0.30,1.0,0.8,0.8,18.1,0.15,0.1,0.1,0.1,-6.4,-0.01,3.6,3.4,3.0,7.7,0.23,0.6,0.5,0.6,9.3,0.05,7.0,6.9,6.7,1.7,0.12
Chuck Hayes,2007-08,Chuck Hayes 2007-08,79,462,2.5,2.9,3.1,-12.7,-0.40,0.6,0.5,0.4,23.0,0.10,0.1,0.1,0.1,-53.7,-0.06,2.0,2.1,1.8,-10.0,-0.18,0.3,0.3,0.3,12.6,0.04,5.4,5.9,5.8,-8.5,-0.50
Chuck Hayes,2008-09,Chuck Hayes 2008-09,68,245,1.7,2.0,2.2,-11.8,-0.26,0.1,0.3,0.3,-68.6,-0.21,0.1,0.1,0.1,1.0,0.00,0.9,1.0,0.9,-11.8,-0.10,0.1,0.1,0.1,-21.1,-0.03,2.9,3.5,3.6,-16.7,-0.60
Chuck Hayes,2009-10,Chuck Hayes 2009-10,82,787,5.0,5.2,5.7,-4.4,-0.25,0.6,0.7,0.6,-13.1,-0.08,0.0,0.1,0.1,-40.7,-0.03,2.5,2.8,2.5,-11.2,-0.27,0.7,0.6,0.7,12.2,0.08,8.8,9.4,9.6,-5.9,-0.56
Chuck Hayes,2010-11,Chuck Hayes 2010-11,73,1110,8.2,8.4,9.2,-2.0,-0.18,0.6,0.5,0.5,16.4,0.08,0.2,0.3,0.3,-23.8,-0.07,4.9,4.5,4.1,10.2,0.41,1.3,1.1,1.2,18.7,0.22,15.1,14.6,15.2,3.0,0.46
Chuck Hayes,2011-12,Chuck Hayes 2011-12,54,414,3.8,4.2,4.8,-8.5,-0.41,0.2,0.3,0.3,-31.1,-0.10,0.1,0.1,0.1,5.3,0.00,2.1,2.1,2.0,0.3,0.01,0.5,0.4,0.5,20.6,0.10,6.7,7.1,7.7,-5.3,-0.41
Chuck Hayes,2012-13,Chuck Hayes 2012-13,74,506,3.6,3.6,4.0,1.4,0.05,0.4,0.4,0.4,-17.8,-0.08,0.0,0.1,0.1,-98.0,-0.05,1.9,1.9,1.8,-0.3,0.00,0.5,0.5,0.5,10.8,0.06,6.4,6.4,6.8,-0.3,-0.02
Chuck Hayes,2013-14,Chuck Hayes 2013-14,59,266,1.8,2.0,2.2,-10.5,-0.23,0.3,0.5,0.5,-50.1,-0.25,0.0,0.0,0.0,-98.0,-0.02,1.7,1.7,1.6,-2.7,-0.04,0.2,0.2,0.2,-15.5,-0.03,3.8,4.4,4.5,-12.8,-0.58
Chuck Hayes,2014-15,Chuck Hayes 2014-15,29,117,1.9,2.0,2.3,-4.4,-0.10,0.9,0.8,0.8,6.4,0.05,0.0,0.0,0.0,,0.00,0.8,0.9,0.8,-13.3,-0.11,0.1,0.1,0.1,-23.3,-0.02,3.7,3.9,4.0,-4.5,-0.18
Chucky Atkins,2005-06,Chucky Atkins 2005-06,69,1083,8.2,8.2,9.1,-1.0,-0.09,0.1,0.2,0.2,-38.8,-0.10,3.1,3.2,3.3,-3.3,-0.11,0.1,0.1,0.1,18.6,0.02,3.2,2.6,2.9,21.8,0.62,14.7,14.4,15.7,2.2,0.35
Chucky Atkins,2006-07,Chucky Atkins 2006-07,74,1637,12.6,11.9,13.1,5.5,0.72,0.3,0.2,0.2,78.5,0.14,3.1,2.9,2.9,7.2,0.21,0.2,0.3,0.2,-34.2,-0.08,6.4,5.1,5.6,23.7,1.34,22.6,20.3,22.1,10.5,2.33
Chucky Atkins,2007-08,Chucky Atkins 2007-08,23,205,4.1,3.6,4.0,13.4,0.53,0.4,0.1,0.1,207.3,0.27,2.0,2.5,2.6,-21.5,-0.55,0.1,0.1,0.1,-27.0,-0.02,2.1,2.0,2.2,6.8,0.15,8.7,8.3,8.9,4.2,0.37
Chucky Atkins,2008-09,Chucky Atkins 2008-09,33,292,4.3,5.1,5.6,-14.3,-0.80,0.2,0.1,0.1,58.0,0.07,1.5,1.5,1.5,1.7,0.03,0.1,0.1,0.1,-35.7,-0.03,1.2,1.4,1.5,-11.6,-0.17,7.3,8.2,8.8,-10.2,-0.91
Chucky Atkins,2009-10,Chucky Atkins 2009-10,39,415,6.2,6.1,6.6,2.8,0.18,0.1,0.1,0.1,-24.7,-0.02,1.7,2.1,2.2,-17.6,-0.38,0.1,0.1,0.1,-7.5,0.00,1.9,1.6,1.7,17.6,0.30,9.9,9.8,10.6,0.8,0.08
Chuma Okeke,2020-21,Chuma Okeke 2020-21,45,634,6.3,6.5,6.6,-4.2,-0.28,1.2,1.0,1.0,15.9,0.16,3.0,3.2,3.1,-6.1,-0.19,0.8,0.8,0.7,7.1,0.05,2.5,2.6,2.6,-2.6,-0.07,13.8,14.1,14.1,-2.4,-0.34
Chuma Okeke,2021-22,Chuma Okeke 2021-22,70,961,4.7,4.9,5.0,-4.1,-0.21,1.0,1.0,1.0,2.1,0.02,4.1,4.7,4.6,-13.3,-0.61,1.0,0.8,0.7,19.1,0.13,2.6,2.3,2.4,12.3,0.30,13.3,13.7,13.7,-2.7,-0.37
Chuma Okeke,2022-23,Chuma Okeke 2022-23,27,236,3.1,3.4,3.4,-6.9,-0.23,0.6,1.0,0.9,-35.0,-0.32,2.6,2.5,2.4,0.5,0.01,0.9,0.6,0.6,56.5,0.31,1.3,1.4,1.4,-12.6,-0.18,8.5,8.9,8.7,-4.7,-0.41
Chuma Okeke,2023-24,Chuma Okeke 2023-24,41,184,1.3,1.6,1.6,-19.2,-0.30,0.3,0.4,0.4,-10.5,-0.04,1.1,1.6,1.5,-27.6,-0.41,0.3,0.4,0.3,-11.2,-0.04,0.8,0.7,0.7,9.9,0.07,3.9,4.6,4.5,-16.0,-0.72
CJ Elleby,2020-21,CJ Elleby 2020-21,30,101,1.2,1.3,1.3,-7.7,-0.10,0.1,0.1,0.1,-48.5,-0.06,0.6,1.0,1.0,-40.3,-0.39,0.5,0.4,0.4,27.4,0.11,0.7,0.6,0.6,31.0,0.18,3.1,3.4,3.4,-8.0,-0.27
CJ Elleby,2021-22,CJ Elleby 2021-22,58,613,3.3,3.7,3.8,-10.9,-0.41,0.3,0.3,0.3,-10.2,-0.03,2.5,2.9,2.9,-14.4,-0.42,1.2,1.2,1.0,-1.7,-0.02,2.6,2.4,2.5,4.8,0.12,9.8,10.6,10.6,-7.2,-0.76
CJ McCollum,2013-14,CJ McCollum 2013-14,37,288,3.2,3.8,4.2,-14.1,-0.59,0.1,0.1,0.1,-10.4,-0.01,2.4,2.0,2.1,22.1,0.45,0.5,0.4,0.3,39.3,0.13,1.1,1.0,1.1,12.0,0.13,7.3,7.2,7.8,1.5,0.11
CJ McCollum,2014-15,CJ McCollum 2014-15,60,612,5.0,5.0,5.6,-0.1,0.00,0.2,0.3,0.3,-29.9,-0.10,2.7,2.4,2.5,12.6,0.31,0.3,0.2,0.2,45.1,0.08,1.9,1.5,1.7,22.2,0.37,10.0,9.3,10.2,6.4,0.65
