Player,Year,Player Year,Games,Total plays,On-ball PRF/g,On-ball PRF baseline,On-ball Plays/g,On-ball rORTG,On-ball PC/g,Off-ball: Partner PRF/g,Off-ball: Partner PRF/g baseline,Off-ball: Partner Plays/g,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Space PRF/g,Off-ball: Space PRF/g baseline,Off-ball: Space Plays/g,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Crash PRF/g,Off-ball: Crash PRF/g baseline,Off-ball: Crash Plays/g,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Transition PRF/g,Transition PRF/g baseline,Transition Plays/g,Transition rORTG,Transition PC/g,Total PRF/g,Total PRF/g baseline,Total Plays/g,Total rORTG,Total PC/g
Al Horford,2022-23,Al Horford 2022-23,63,975,8.3,7.4,7.4,11.9,0.88,1.2,1.1,1.0,1.1,0.01,5.6,4.4,4.3,28.1,1.19,1.0,1.0,0.8,-0.6,-0.01,2.3,1.9,1.9,18.2,0.35,18.3,15.9,15.5,15.7,2.44
Al Horford,2023-24,Al Horford 2023-24,56,744,7.4,6.3,6.3,18.3,1.14,1.0,1.1,1.0,-8.4,-0.08,3.7,3.1,2.9,20.0,0.59,1.1,1.0,0.9,9.6,0.09,2.8,2.2,2.2,25.7,0.57,16.0,13.7,13.3,17.4,2.31
Al Jefferson,2005-06,Al Jefferson 2005-06,59,530,4.7,5.4,6.0,-11.5,-0.69,0.4,0.3,0.3,32.7,0.09,0.2,0.2,0.3,-2.9,-0.01,2.7,2.3,2.1,22.6,0.47,0.5,0.4,0.4,38.8,0.16,8.6,8.6,9.0,0.3,0.03
Al Jefferson,2006-07,Al Jefferson 2006-07,69,1266,11.1,11.3,12.4,-1.2,-0.14,0.8,0.8,0.8,4.8,0.04,0.5,0.5,0.6,-9.2,-0.05,4.7,4.3,4.0,9.7,0.38,0.8,0.6,0.6,47.4,0.29,18.0,17.5,18.3,2.8,0.51
Al Jefferson,2007-08,Al Jefferson 2007-08,78,1880,12.8,13.9,15.3,-7.5,-1.14,2.1,1.9,1.8,14.5,0.26,1.3,1.5,1.6,-10.4,-0.16,6.3,5.1,4.8,24.5,1.18,0.8,0.6,0.7,31.4,0.21,23.4,23.0,24.1,1.4,0.35
Al Jefferson,2008-09,Al Jefferson 2008-09,50,1353,16.1,15.5,17.0,3.5,0.59,1.6,1.7,1.6,-4.7,-0.08,2.4,2.7,2.7,-11.4,-0.31,6.1,5.6,5.1,9.8,0.50,0.8,0.6,0.6,37.0,0.24,26.9,26.0,27.1,3.5,0.94
Al Jefferson,2009-10,Al Jefferson 2009-10,76,1700,15.2,15.4,16.8,-1.0,-0.16,1.3,1.3,1.3,2.9,0.04,0.7,1.0,1.1,-27.7,-0.29,3.6,2.8,2.6,30.4,0.80,0.7,0.5,0.6,22.0,0.13,21.5,21.0,22.4,2.3,0.51
Al Jefferson,2010-11,Al Jefferson 2010-11,82,1900,12.0,12.2,13.5,-1.8,-0.25,1.7,1.4,1.4,16.9,0.24,1.9,2.0,2.0,-6.1,-0.12,6.4,5.8,5.2,11.7,0.61,1.4,0.9,1.0,45.6,0.46,23.3,22.4,23.2,4.1,0.94
Al Jefferson,2011-12,Al Jefferson 2011-12,61,1506,15.8,14.2,16.3,9.5,1.55,1.6,1.6,1.6,4.2,0.07,1.5,1.7,1.8,-8.4,-0.15,4.8,4.4,4.2,8.2,0.34,0.9,0.7,0.8,24.6,0.20,24.7,22.7,24.7,8.1,2.01
Al Jefferson,2012-13,Al Jefferson 2012-13,78,1834,14.3,13.8,15.5,3.4,0.52,1.8,1.7,1.7,5.8,0.10,1.6,1.9,1.9,-11.3,-0.22,4.2,3.4,3.2,24.0,0.76,1.5,1.1,1.2,28.4,0.35,23.4,21.9,23.5,6.5,1.52
Al Jefferson,2013-14,Al Jefferson 2013-14,73,2038,18.0,17.0,18.8,5.3,0.99,3.0,3.1,3.1,-3.5,-0.11,1.6,2.0,2.1,-19.4,-0.40,4.2,3.5,3.2,21.9,0.70,0.9,0.7,0.7,28.4,0.21,27.7,26.3,27.9,5.0,1.40
Al Jefferson,2014-15,Al Jefferson 2014-15,65,1462,14.6,14.1,15.7,3.1,0.48,2.7,2.6,2.7,1.1,0.03,0.7,0.9,0.9,-25.4,-0.23,2.8,2.9,2.7,-4.8,-0.13,0.6,0.4,0.5,33.4,0.15,21.3,21.0,22.5,1.3,0.30
