Rk,Player,5 Best Seasons,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
43,Kevin Martin,3.06,3.73,3.19,2.99,2.97,2.42,2.40,1.87,1.57,1.53,1.36,-0.01,,,,,,,,,,,
44,Jrue Holiday,3.05,3.53,3.32,2.92,2.89,2.59,2.52,2.29,1.55,1.52,1.39,1.29,1.16,1.16,1.08,0.13,,,,,,,
45,Pau Gasol,3.03,3.78,3.26,2.75,2.75,2.62,2.58,1.97,1.51,1.41,1.35,0.54,0.36,-0.08,-0.27,,,,,,,,
46,Jason Terry,2.98,3.55,3.47,2.93,2.55,2.40,2.38,2.11,1.59,0.99,0.91,0.74,0.36,0.09,,,,,,,,,
47,Goran Dragic,2.98,4.95,2.60,2.49,2.44,2.42,2.19,1.79,1.68,0.94,0.66,0.62,0.33,0.17,0.07,-0.02,,,,,,,
48,Shai Gilgeous-Alexander,2.97,6.66,3.60,2.00,1.73,0.86,0.09,,,,,,,,,,,,,,,,
49,Amar'e Stoudemire,2.93,4.80,2.66,2.49,2.45,2.23,1.83,1.29,0.95,0.62,0.26,,,,,,,,,,,,
50,Chris Bosh,2.90,3.74,3.65,2.70,2.35,2.09,2.04,1.99,1.87,1.87,1.78,1.32,,,,,,,,,,,
51,Mike Conley,2.88,3.40,3.28,2.64,2.62,2.47,2.43,2.38,2.14,2.10,1.88,1.86,1.23,1.13,1.13,1.03,0.34,0.23,,,,,
52,Danilo Gallinari,2.86,3.74,3.00,2.62,2.50,2.44,2.40,2.38,1.79,1.61,1.54,1.36,1.00,0.85,0.41,,,,,,,,
53,Paul George,2.85,3.20,3.11,2.86,2.60,2.50,2.01,1.96,1.63,1.45,1.36,0.73,0.66,0.29,,,,,,,,,
54,Kemba Walker,2.84,3.35,2.93,2.75,2.59,2.58,1.30,1.28,0.48,0.48,0.47,-0.58,,,,,,,,,,,
55,Kyle Korver,2.83,4.08,3.01,2.94,2.24,1.87,1.73,1.66,1.25,1.22,1.15,1.13,1.12,1.08,1.04,0.97,,,,,,,
56,Bradley Beal,2.81,3.47,3.46,2.72,2.51,1.86,1.65,1.21,0.88,0.82,0.51,0.45,0.11,,,,,,,,,,
57,Monta Ellis,2.79,3.43,3.20,3.05,2.38,1.87,1.49,1.46,0.77,0.67,0.31,-0.29,-0.35,,,,,,,,,,
58,John Wall,2.76,3.38,3.01,2.71,2.51,2.18,2.01,1.61,1.02,0.44,-0.41,-2.11,,,,,,,,,,,
59,Rashard Lewis,2.74,3.36,2.98,2.92,2.57,1.89,0.44,0.41,0.31,-0.77,,,,,,,,,,,,,
60,Kevin Love,2.74,4.03,2.85,2.74,2.05,2.00,1.97,1.74,1.62,1.06,0.96,0.22,0.12,0.02,-0.39,-0.69,-2.39,,,,,,
61,Hedo Turkoglu,2.69,4.20,2.87,2.56,2.19,1.63,1.32,1.12,0.80,0.41,,,,,,,,,,,,,
62,Lou Williams,2.69,3.13,2.85,2.61,2.46,2.39,2.17,2.02,1.92,1.65,1.52,1.12,0.66,0.50,0.39,0.20,0.17,,,,,,
63,Jeff Teague,2.68,3.58,2.65,2.61,2.35,2.19,2.18,2.09,1.04,0.64,0.55,0.06,-0.36,,,,,,,,,,
64,Leandro Barbosa,2.67,4.11,2.90,2.47,2.46,1.41,1.16,1.00,0.94,0.84,0.49,0.42,-0.11,,,,,,,,,,
65,De'Aaron Fox,2.65,4.26,2.51,2.37,2.35,1.79,1.15,-1.37,,,,,,,,,,,,,,,
66,Vince Carter,2.64,3.19,3.03,2.85,2.38,1.76,1.46,1.43,1.40,1.13,0.46,0.43,0.37,-0.06,-0.46,-0.73,,,,,,,
67,Eric Bledsoe,2.61,3.14,2.97,2.70,2.27,1.98,1.88,1.77,0.68,0.63,0.03,-0.20,-0.43,,,,,,,,,,
68,George Hill,2.59,2.91,2.66,2.50,2.44,2.43,1.92,1.58,1.34,1.34,0.93,0.84,0.67,0.50,0.18,0.17,,,,,,,
69,Jalen Brunson,2.57,3.85,2.88,2.59,2.30,1.25,0.80,,,,,,,,,,,,,,,,
70,Eric Gordon,2.53,3.50,3.32,2.06,1.90,1.87,1.83,1.63,1.42,1.32,1.01,0.93,0.88,0.86,0.84,0.75,-0.03,,,,,,
71,Draymond Green,2.51,4.61,2.34,2.04,2.01,1.55,1.34,1.16,0.78,0.45,0.09,-0.90,-0.97,,,,,,,,,,
72,Al Horford,2.49,2.95,2.44,2.38,2.35,2.33,2.31,2.25,2.05,1.93,1.74,1.70,1.48,1.24,0.99,0.79,0.04,-0.22,,,,,
73,Joe Johnson,2.49,2.95,2.68,2.58,2.14,2.10,1.55,1.53,1.46,1.34,1.06,0.98,0.70,-0.59,,,,,,,,,
74,Jayson Tatum,2.48,4.01,3.02,1.90,1.81,1.65,1.14,0.60,,,,,,,,,,,,,,,
75,Kevin Garnett,2.47,3.08,2.70,2.41,2.12,2.04,2.00,1.68,1.09,-0.02,-0.20,-0.87,,,,,,,,,,,
76,CJ McCollum,2.47,3.40,2.94,2.13,2.01,1.88,1.76,1.70,0.79,0.79,0.65,0.11,,,,,,,,,,,
77,Devin Harris,2.46,3.36,2.50,2.22,2.17,2.05,1.89,1.75,1.72,1.37,1.06,0.90,0.69,0.18,-0.03,,,,,,,,
78,Zach LaVine,2.43,3.76,2.59,2.59,1.76,1.47,1.26,0.86,0.64,-0.18,-0.40,,,,,,,,,,,,
79,Shaquille O'Neal,2.42,4.50,3.31,2.36,1.12,0.83,0.79,,,,,,,,,,,,,,,,
80,Chandler Parsons,2.42,3.18,3.15,2.56,2.20,1.01,0.85,-1.06,-1.25,,,,,,,,,,,,,,
81,Joe Ingles,2.41,3.64,2.77,2.53,1.68,1.43,1.30,1.17,0.82,0.80,0.63,,,,,,,,,,,,
82,Jason Kidd,2.40,3.20,2.96,2.84,1.54,1.48,1.43,1.33,0.96,,,,,,,,,,,,,,
83,Jamal Crawford,2.40,2.71,2.59,2.46,2.35,1.90,1.38,1.34,1.27,0.71,0.63,0.62,0.60,0.49,0.31,,,,,,,,
84,Andre Miller,2.38,3.15,2.52,2.35,1.98,1.91,1.70,1.55,1.51,1.44,0.98,0.98,,,,,,,,,,,
85,Mo Williams,2.37,3.27,3.26,2.09,1.87,1.37,1.13,0.79,0.65,0.57,0.34,0.28,,,,,,,,,,,
86,Zion Williamson,2.36,3.65,3.49,3.26,1.39,,,,,,,,,,,,,,,,,,
87,Darren Collison,2.36,2.64,2.62,2.29,2.20,2.02,1.34,1.22,1.11,1.04,0.59,,,,,,,,,,,,
88,Andre Iguodala,2.32,2.54,2.40,2.36,2.16,2.16,1.84,1.77,1.68,1.62,1.54,1.36,1.27,1.23,1.21,0.66,0.11,-0.02,,,,,
89,Derrick Rose,2.32,3.28,3.16,1.83,1.83,1.48,1.45,0.73,0.32,0.16,-0.24,-0.24,-0.34,-0.65,-0.75,-4.27,,,,,,,
90,Michael Redd,2.32,3.47,3.38,2.26,1.73,0.73,-1.70,,,,,,,,,,,,,,,,
91,Jason Richardson,2.31,2.71,2.53,2.39,2.12,1.80,1.26,1.13,0.36,-0.45,,,,,,,,,,,,,
92,Wesley Matthews,2.27,2.83,2.66,2.17,1.92,1.76,1.32,1.15,0.99,0.78,0.73,0.62,0.12,-0.19,-0.23,,,,,,,,
93,Danny Granger,2.25,3.66,2.52,1.72,1.70,1.65,1.26,0.18,0.05,-0.17,,,,,,,,,,,,,
94,Gordon Hayward,2.23,2.88,2.36,2.28,1.88,1.76,1.70,1.31,1.23,1.12,0.42,0.33,0.16,-0.13,,,,,,,,,
95,Boris Diaw,2.20,3.47,2.90,1.77,1.56,1.28,1.10,0.98,0.96,0.94,0.62,0.30,0.12,,,,,,,,,,
